text,sentiment,subjectivity,polarity
b'other side of the story \xf0\x9f\x98\x9e \xf0\x9f\x98\x9e \xf0\x9f\x98\x9e \xf0\x9f\x98\x9e \n@pmoindia @hmoindia @narendramodi @amitshah @hrdministry #covid\n#coronavirus\xe2\x80\xa6 https://t.co/ttv9wadpcw',"Sentiment(polarity=-0.125, subjectivity=0.375)",0.375,-0.125
"b'#amidst all the #corona #virus downsurg, how #colorful have your days been \xf0\x9f\x92\x83\xf0\x9f\x8f\xbe\xf0\x9f\x92\x83\xf0\x9f\x8f\xbe\xf0\x9f\x91\xb8\xf0\x9f\x8f\xbd\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x8e\x89 mamello in northwest puts\xe2\x80\xa6 https://t.co/s6zgxesg5i'","Sentiment(polarity=0.3, subjectivity=0.4)",0.4,0.3
b'@karl_no_marx this https://t.co/b4ztntircd life needs to get moksha through #corona',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"b'#covid2019 #isolation #share your talk on #corona at #globaltoxicology2020 on #november 05-06,2020 at #madrid,\xe2\x80\xa6 https://t.co/euoqxubfch'","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
b'\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 india has done well so far in its fight to contain corona virus. now we are in stage 3 in which virus spreads th\xe2\x80\xa6 https://t.co/k6zvw9jyu3',"Sentiment(polarity=0.1, subjectivity=1.0)",1.0,0.1
"b'hongera sana kwa ubunifu huu, #brands link this to the previous concept. win-win situation.\n\n1.empower local innova\xe2\x80\xa6 https://t.co/inhsapo21j'","Sentiment(polarity=-0.08333333333333333, subjectivity=0.08333333333333333)",0.08333333333333333,-0.08333333333333333
"b'watch this people of india and open your eyes, take action. wake, up? #coronavirusupdate #corona #coronavirusindia\xe2\x80\xa6 https://t.co/hyfajgnpin'","Sentiment(polarity=0.05, subjectivity=0.3)",0.3,0.05
"b""ar chowdhary, congress: pm's address to nation today is very important. people are scared&amp;worried. i had always app\xe2\x80\xa6 https://t.co/8mlxafro6w""","Sentiment(polarity=0.52, subjectivity=1.0)",1.0,0.52
"b'help people avoid panic, love\n not hate...we can beat corona but together. \ndo basics: wash hand,simple life, healt\xe2\x80\xa6 https://t.co/bvuyk0lat3'","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
b'stay away from rumours. follow guidelines from who #staysafe from #corona #coronavirus #alwayswithleeminho\xe2\x80\xa6 https://t.co/dkjkx3z2uy',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
